Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"PDGFC","Platelet Derived Growth Factor C","Protein Coding","Q9NRA1","54","GC04M156760","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFC"
"ADARB2","Adenosine Deaminase RNA Specific B2 (Inactive)","Protein Coding","Q9NS39","52","GC10M001286","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADARB2"
"MRC2","Mannose Receptor C-Type 2","Protein Coding","Q9UBG0","52","GC17P062627","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRC2"
"SMARCD3","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily D, Member 3","Protein Coding","Q6STE5","52","GC07M151238","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCD3"
"TST","Thiosulfate Sulfurtransferase","Protein Coding","Q16762","52","GC22M037010","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TST"
"FIS1","Fission, Mitochondrial 1","Protein Coding","Q9Y3D6","51","GC07M101239","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FIS1"
"RND3","Rho Family GTPase 3","Protein Coding","P61587","51","GC02M150468","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RND3"
"DUSP19","Dual Specificity Phosphatase 19","Protein Coding","Q8WTR2","50","GC02P183078","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP19"
"MAP4K5","Mitogen-Activated Protein Kinase Kinase Kinase Kinase 5","Protein Coding","Q9Y4K4","50","GC14M050418","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP4K5"
"RXFP3","Relaxin Family Peptide Receptor 3","Protein Coding","Q9NSD7","49","GC05P033937","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXFP3"
"RNF114","Ring Finger Protein 114","Protein Coding","Q9Y508","46","GC20P049936","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNF114"
"SCARA3","Scavenger Receptor Class A Member 3","Protein Coding","Q6AZY7","45","GC08P027633","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCARA3"
"TAFA1","TAFA Chemokine Like Family Member 1","Protein Coding","Q7Z5A9","45","GC03P067992","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAFA1"
"TAFA4","TAFA Chemokine Like Family Member 4","Protein Coding","Q96LR4","38","GC03M068714","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAFA4"
"DLEU7","Deleted In Lymphocytic Leukemia 7","Protein Coding","Q6UYE1","37","GC13M050519","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLEU7"
"MCRIP2","MAPK Regulated Corepressor Interacting Protein 2","Protein Coding","Q9BUT9","34","GC16P000636","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCRIP2"
"LINC02860","Long Intergenic Non-Protein Coding RNA 2860","RNA Gene","","20","GC07P029448","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC02860"
"MIR630","MicroRNA 630","RNA Gene","","17","GC15P072587","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR630"
"MIR3909","MicroRNA 3909","RNA Gene","","16","GC22P035335","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR3909"
"NM","Neutrophil Migration","Genetic Locus","","6","GC07U990060","0.459303021430969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NM"
"KCNN4","Potassium Calcium-Activated Channel Subfamily N Member 4","Protein Coding","O15554","60","GC19M101081","0.456502318382263","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNN4"
"SLC9A3","Solute Carrier Family 9 Member A3","Protein Coding","P48764","59","GC05M000472","0.456502318382263","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC9A3"
"SLC11A1","Solute Carrier Family 11 Member 1","Protein Coding","P49279","58","GC02P218382","0.456502318382263","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC11A1"
"CEACAM3","CEA Cell Adhesion Molecule 3","Protein Coding","P40198","54","GC19P041796","0.456502318382263","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEACAM3"
"CEACAM6","CEA Cell Adhesion Molecule 6","Protein Coding","P40199","53","GC19P041750","0.456502318382263","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEACAM6"
"DCTN4","Dynactin Subunit 4","Protein Coding","Q9UJW0","50","GC05M150708","0.456502318382263","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DCTN4"
"SLC26A9","Solute Carrier Family 26 Member 9","Protein Coding","Q7LBE3","49","GC01M205883","0.456502318382263","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC26A9"
"CLCA4","Chloride Channel Accessory 4","Protein Coding","Q14CN2","47","GC01P086547","0.456502318382263","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLCA4"
"ENTPD1","Ectonucleoside Triphosphate Diphosphohydrolase 1","Protein Coding","P49961","62","GC10P116239","0.455400228500366","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENTPD1"
"CALCR","Calcitonin Receptor","Protein Coding","P30988","61","GC07M093424","0.455400228500366","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCR"
"PSENEN","Presenilin Enhancer, Gamma-Secretase Subunit","Protein Coding","Q9NZ42","56","GC19P132929","0.455400228500366","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSENEN"
"MICA","MHC Class I Polypeptide-Related Sequence A","Protein Coding","Q29983","51","GC06P031399","0.455400228500366","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MICA"
"FRMD7","FERM Domain Containing 7","Protein Coding","Q6ZUT3","51","GC0XM132077","0.451156347990036","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRMD7"
"PIN4","Peptidylprolyl Cis/Trans Isomerase, NIMA-Interacting 4","Protein Coding","Q9Y237","48","GC0XP072181","0.451156347990036","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIN4"
"GSN","Gelsolin","Protein Coding","P06396","62","GC09P121201","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSN"
"NR2F2","Nuclear Receptor Subfamily 2 Group F Member 2","Protein Coding","P24468","61","GC15P096325","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR2F2"
"DES","Desmin","Protein Coding","P17661","60","GC02P219418","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DES"
"CSF2RB","Colony Stimulating Factor 2 Receptor Subunit Beta","Protein Coding","P32927","58","GC22P036913","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2RB"
"MS4A1","Membrane Spanning 4-Domains A1","Protein Coding","P11836","58","GC11P098544","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MS4A1"
"HABP2","Hyaluronan Binding Protein 2","Protein Coding","Q14520","57","GC10P113550","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HABP2"
"PARP2","Poly(ADP-Ribose) Polymerase 2","Protein Coding","Q9UGN5","57","GC14P020343","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP2"
"AMPH","Amphiphysin","Protein Coding","P49418","56","GC07M039633","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMPH"
"DAXX","Death Domain Associated Protein","Protein Coding","Q9UER7","56","GC06M033318","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAXX"
"NFIB","Nuclear Factor I B","Protein Coding","O00712","56","GC09M014077","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFIB"
"GADD45A","Growth Arrest And DNA Damage Inducible Alpha","Protein Coding","P24522","55","GC01P067685","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GADD45A"
"MAD2L2","Mitotic Arrest Deficient 2 Like 2","Protein Coding","Q9UI95","55","GC01M011658","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAD2L2"
"PTBP1","Polypyrimidine Tract Binding Protein 1","Protein Coding","P26599","55","GC19P000797","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTBP1"
"STRADA","STE20 Related Adaptor Alpha","Protein Coding","Q7RTN6","55","GC17M090038","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STRADA"
"JPH3","Junctophilin 3","Protein Coding","Q8WXH2","54","GC16P087601","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JPH3"
"UBE2D2","Ubiquitin Conjugating Enzyme E2 D2","Protein Coding","P62837","54","GC05P139526","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2D2"
"CERK","Ceramide Kinase","Protein Coding","Q8TCT0","52","GC22M046684","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CERK"
"EPB41L3","Erythrocyte Membrane Protein Band 4.1 Like 3","Protein Coding","Q9Y2J2","52","GC18M005392","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPB41L3"
"GABARAPL1","GABA Type A Receptor Associated Protein Like 1","Protein Coding","Q9H0R8","52","GC12P010212","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GABARAPL1"
"CDC5L","Cell Division Cycle 5 Like","Protein Coding","Q99459","51","GC06P044387","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC5L"
"PDE6H","Phosphodiesterase 6H","Protein Coding","Q13956","51","GC12P047081","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE6H"
"S100A1","S100 Calcium Binding Protein A1","Protein Coding","P23297","51","GC01P153627","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A1"
"SLC17A8","Solute Carrier Family 17 Member 8","Protein Coding","Q8NDX2","51","GC12P100357","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC17A8"
"AKAP6","A-Kinase Anchoring Protein 6","Protein Coding","Q13023","50","GC14P032329","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP6"
"CDX1","Caudal Type Homeobox 1","Protein Coding","P47902","50","GC05P150166","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDX1"
"NEIL3","Nei Like DNA Glycosylase 3","Protein Coding","Q8TAT5","50","GC04P177309","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEIL3"
"EMILIN1","Elastin Microfibril Interfacer 1","Protein Coding","Q9Y6C2","49","GC02P027078","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMILIN1"
"DMXL2","Dmx Like 2","Protein Coding","Q8TDJ6","48","GC15M051447","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMXL2"
"FRMD6","FERM Domain Containing 6","Protein Coding","Q96NE9","48","GC14P052490","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRMD6"
"MTMR7","Myotubularin Related Protein 7","Protein Coding","Q9Y216","48","GC08M017296","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTMR7"
"ZNF644","Zinc Finger Protein 644","Protein Coding","Q9H582","48","GC01M090915","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF644"
"MAPK8IP2","Mitogen-Activated Protein Kinase 8 Interacting Protein 2","Protein Coding","Q13387","47","GC22P050600","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8IP2"
"NDUFA3","NADH:Ubiquinone Oxidoreductase Subunit A3","Protein Coding","O95167","47","GC19P054102","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFA3"
"PROK1","Prokineticin 1","Protein Coding","P58294","47","GC01P110451","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROK1"
"PRPS1L1","Phosphoribosyl Pyrophosphate Synthetase 1 Like 1","Protein Coding","P21108","47","GC07M018026","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPS1L1"
"TDRD3","Tudor Domain Containing 3","Protein Coding","Q9H7E2","46","GC13P060396","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TDRD3"
"SPIDR","Scaffold Protein Involved In DNA Repair","Protein Coding","Q14159","45","GC08P047260","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPIDR"
"VWA8","Von Willebrand Factor A Domain Containing 8","Protein Coding","A3KMH1","45","GC13M041838","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VWA8"
"METTL16","Methyltransferase 16, RNA N6-Adenosine","Protein Coding","Q86W50","44","GC17M002405","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=METTL16"
"NPVF","Neuropeptide VF Precursor","Protein Coding","Q9HCQ7","44","GC07M025224","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPVF"
"TEX15","Testis Expressed 15, Meiosis And Synapsis Associated","Protein Coding","Q9BXT5","44","GC08M030831","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEX15"
"ABHD12B","Abhydrolase Domain Containing 12B","Protein Coding","Q7Z5M8","42","GC14P050872","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABHD12B"
"XKR6","XK Related 6","Protein Coding","Q5GH73","42","GC08M010896","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XKR6"
"TXNDC16","Thioredoxin Domain Containing 16","Protein Coding","Q9P2K2","41","GC14M052430","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNDC16"
"DTHD1","Death Domain Containing 1","Protein Coding","Q6ZMT9","40","GC04P036283","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DTHD1"
"TENT5D","Terminal Nucleotidyltransferase 5D","Protein Coding","Q8NEK8","39","GC0XP080336","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TENT5D"
"DAOA-AS1","DAOA Antisense RNA 1","RNA Gene","","26","GC13M105459","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAOA-AS1"
"LINC00511","Long Intergenic Non-Protein Coding RNA 511","RNA Gene","","25","GC17M091151","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00511"
"LINC00161","Long Intergenic Non-Protein Coding RNA 161","RNA Gene","","24","GC21P028539","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00161"
"L1CAM-AS1","L1CAM Antisense RNA 1","RNA Gene","","22","GC0XP154241","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=L1CAM-AS1"
"FAM225A","Family With Sequence Similarity 225 Member A","RNA Gene","","21","GC09P146058","0.446720778942108","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAM225A"
"PAK3","P21 (RAC1) Activated Kinase 3","Protein Coding","O75914","62","GC0XP110944","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAK3"
"WAS","WASP Actin Nucleation Promoting Factor","Protein Coding","P42768","61","GC0XP048676","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WAS"
"GDI1","GDP Dissociation Inhibitor 1","Protein Coding","P31150","58","GC0XP154436","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDI1"
"GMNN","Geminin DNA Replication Inhibitor","Protein Coding","O75496","57","GC06P024779","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GMNN"
"NAA10","N-Alpha-Acetyltransferase 10, NatA Catalytic Subunit","Protein Coding","P41227","57","GC0XM153929","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAA10"
"SLC9A6","Solute Carrier Family 9 Member A6","Protein Coding","Q92581","57","GC0XP135985","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC9A6"
"ARHGEF6","Rac/Cdc42 Guanine Nucleotide Exchange Factor 6","Protein Coding","Q15052","55","GC0XM136665","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGEF6"
"DLG3","Discs Large MAGUK Scaffold Protein 3","Protein Coding","Q92796","55","GC0XP070444","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLG3"
"MED23","Mediator Complex Subunit 23","Protein Coding","Q9ULK4","55","GC06M131573","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED23"
"AP1S2","Adaptor Related Protein Complex 1 Subunit Sigma 2","Protein Coding","P56377","54","GC0XM015825","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AP1S2"
"IGBP1","Immunoglobulin Binding Protein 1","Protein Coding","P78318","54","GC0XP070133","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGBP1"
"ZDHHC9","Zinc Finger DHHC-Type Palmitoyltransferase 9","Protein Coding","Q9Y397","54","GC0XM129803","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZDHHC9"
"MBTPS2","Membrane Bound Transcription Factor Peptidase, Site 2","Protein Coding","O43462","53","GC0XP021839","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBTPS2"
"SPINK5","Serine Peptidase Inhibitor Kazal Type 5","Protein Coding","Q9NQ38","53","GC05P148025","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPINK5"
"SRPX2","Sushi Repeat Containing Protein X-Linked 2","Protein Coding","O60687","53","GC0XP100648","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRPX2"
"ARHGEF9","Cdc42 Guanine Nucleotide Exchange Factor 9","Protein Coding","O43307","52","GC0XM063634","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGEF9"
"CCDC22","Coiled-Coil Domain Containing 22","Protein Coding","O60826","52","GC0XP059315","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC22"
"SHROOM4","Shroom Family Member 4","Protein Coding","Q9ULL8","48","GC0XM050576","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHROOM4"
"PTCHD1","Patched Domain Containing 1","Protein Coding","Q96NR3","47","GC0XP023334","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTCHD1"
"DONSON","DNA Replication Fork Stabilization Factor DONSON","Protein Coding","Q9NYP3","46","GC21M033559","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DONSON"
"LINS1","Lines Homolog 1","Protein Coding","Q8NG48","46","GC15M156146","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINS1"
"RAB40AL","RAB40A Like","Protein Coding","P0C0E4","38","GC0XP102937","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB40AL"
"LOC130056971","ATAC-STARR-Seq Lymphoblastoid Silent Region 6398","Functional Element","","9","GC15P180218","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC130056971"
"LOC130056973","ATAC-STARR-Seq Lymphoblastoid Active Region 9341","Functional Element","","9","GC15P180220","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC130056973"
"LOC130068854","ATAC-STARR-Seq Lymphoblastoid Silent Region 21085","Functional Element","","9","GC0XP154289","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC130068854"
"LOC130066823","ATAC-STARR-Seq Lymphoblastoid Silent Region 13383","Functional Element","","8","GC21P049621","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC130066823"
"LOC130003135","ATAC-STARR-Seq Lymphoblastoid Silent Region 20636","Functional Element","","6","GC09P148936","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC130003135"
"LOC130003148","ATAC-STARR-Seq Lymphoblastoid Active Region 29369","Functional Element","","6","GC09P148949","0.435361176729202","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC130003148"
"CACNA1G","Calcium Voltage-Gated Channel Subunit Alpha1 G","Protein Coding","O43497","61","GC17P134109","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1G"
"STK4","Serine/Threonine Kinase 4","Protein Coding","Q13043","61","GC20P044966","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK4"
"PFKL","Phosphofructokinase, Liver Type","Protein Coding","P17858","58","GC21P044300","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PFKL"
"LTBP1","Latent Transforming Growth Factor Beta Binding Protein 1","Protein Coding","Q14766","57","GC02P032946","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTBP1"
"IL10RB","Interleukin 10 Receptor Subunit Beta","Protein Coding","Q08334","56","GC21P033266","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10RB"
"P2RY2","Purinergic Receptor P2Y2","Protein Coding","P41231","56","GC11P099353","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RY2"
"HGS","Hepatocyte Growth Factor-Regulated Tyrosine Kinase Substrate","Protein Coding","O14964","55","GC17P081683","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HGS"
"ADGRG6","Adhesion G Protein-Coupled Receptor G6","Protein Coding","Q86SQ4","54","GC06P142301","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADGRG6"
"EDA","Ectodysplasin A","Protein Coding","Q92838","54","GC0XP069618","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDA"
"PLA2G10","Phospholipase A2 Group X","Protein Coding","O15496","54","GC16M014672","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G10"
"TRIM33","Tripartite Motif Containing 33","Protein Coding","Q9UPN9","54","GC01M114392","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM33"
"PRRX1","Paired Related Homeobox 1","Protein Coding","P54821","53","GC01P170662","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRRX1"
"DUSP5","Dual Specificity Phosphatase 5","Protein Coding","Q16690","52","GC10P110497","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP5"
"OPCML","Opioid Binding Protein/Cell Adhesion Molecule Like","Protein Coding","Q14982","52","GC11M132414","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPCML"
"LRRC8A","Leucine Rich Repeat Containing 8 VRAC Subunit A","Protein Coding","Q8IWT6","51","GC09P128882","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC8A"
"LSR","Lipolysis Stimulated Lipoprotein Receptor","Protein Coding","Q86X29","51","GC19P132914","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LSR"
"NGEF","Neuronal Guanine Nucleotide Exchange Factor","Protein Coding","Q8N5V2","50","GC02M232878","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGEF"
"RNLS","Renalase, FAD Dependent Amine Oxidase","Protein Coding","Q5VYX0","50","GC10M088571","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNLS"
"ARHGEF11","Rho Guanine Nucleotide Exchange Factor 11","Protein Coding","O15085","49","GC01M156934","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGEF11"
"CD248","CD248 Molecule","Protein Coding","Q9HCU0","48","GC11M066314","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD248"
"MAFG","MAF BZIP Transcription Factor G","Protein Coding","O15525","48","GC17M081918","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAFG"
"TGS1","Trimethylguanosine Synthase 1","Protein Coding","Q96RS0","48","GC08P055773","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGS1"
"LCORL","Ligand Dependent Nuclear Receptor Corepressor Like","Protein Coding","Q8N3X6","47","GC04M017844","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCORL"
"VASH1","Vasohibin 1","Protein Coding","Q7L8A9","47","GC14P076761","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VASH1"
"PAQR3","Progestin And AdipoQ Receptor Family Member 3","Protein Coding","Q6TCH7","44","GC04M078887","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAQR3"
"APOL6","Apolipoprotein L6","Protein Coding","Q9BWW8","42","GC22P035648","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOL6"
"SLC35D3","Solute Carrier Family 35 Member D3","Protein Coding","Q5M8T2","42","GC06P136922","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC35D3"
"QRFPR","Pyroglutamylated RFamide Peptide Receptor","Protein Coding","Q96P65","41","GC04M121328","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=QRFPR"
"ZNF395","Zinc Finger Protein 395","Protein Coding","Q9H8N7","41","GC08M028345","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF395"
"SURF6","Surfeit 6","Protein Coding","O75683","40","GC09M133331","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SURF6"
"SAGE1","Sarcoma Antigen 1","Protein Coding","Q9NXZ1","39","GC0XP135889","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAGE1"
"RNY1","RNA, Ro60-Associated Y1","RNA Gene","","25","GC07M148987","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNY1"
"CRMA","Cardiomyocyte Maturation Associated LncRNA","RNA Gene","","22","GC20M062786","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRMA"
"ISCA1P1","Iron-Sulfur Cluster Assembly 1 Pseudogene 1","Pseudogene","","11","GC05M062775","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISCA1P1"
"UBA52P6","Ubiquitin A-52 Residue Ribosomal Protein Fusion Product 1 Pseudogene 6","Pseudogene","","11","GC09P022087","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBA52P6"
"EIF3FP3","Eukaryotic Translation Initiation Factor 3 Subunit F Pseudogene 3","Pseudogene","","10","GC02P058264","0.434628069400787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF3FP3"
"ACVRL1","Activin A Receptor Like Type 1","Protein Coding","P37023","63","GC12P051906","0.423540651798248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVRL1"
"BMPR1B","Bone Morphogenetic Protein Receptor Type 1B","Protein Coding","O00238","61","GC04P094757","0.423540651798248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMPR1B"
"BMP5","Bone Morphogenetic Protein 5","Protein Coding","P22003","54","GC06M055753","0.423540651798248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP5"
"RPL4","Ribosomal Protein L4","Protein Coding","P36578","52","GC15M066498","0.423540651798248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL4"
"UGT2B17","UDP Glucuronosyltransferase Family 2 Member B17","Protein Coding","O75795","52","GC04M068537","0.423540651798248","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT2B17"
